achieved_mhz,achieved_ns,activation,beats,bind_mul,bram,bram_avail,bram_pct,carry8,carry8_avail,carry8_pct,cycles,depth,design,dim,dsp,dsp_avail,dsp_pct,engine,errors,expected,ff,ff_avail,ff_pct,first_out,fixed,hi_cycles,hi_nrow,iob,iob_avail,iob_pct,kind,len,lo_cycles,lo_nrow,log,lut,lut_avail,lut_logic,lut_logic_avail,lut_logic_pct,lut_pct,lutmem,lutmem_avail,lutmem_pct,nacc,nbeat,nrow,outputs,passed,per_beat,per_row,period_ns,scale_latency,tiles,uram,uram_avail,uram_pct,util_from,wns_ns
306.7,3.261,layernorm,,0,0,2016,0.00,6440,162960,3.95,721,16,block,16,755,9024,8.37,spmw,0,,153869,2607360,5.90,94,,,,35,624,5.61,pnr,256,,,sw_block_16_r8_l256_d16_m0_t4_pnr.log,113341,1303680,103993,1303680,7.98,8.69,9348,600960,1.56,128,16,8,,True,,,3.333,,4,0,960,0.00,util.rpt,0.072
,,igelu,64,,,,,,,,,,,,,,,gemmini,,,,,,,6.0,518,8,,,,marginal,1024,262,4,,,,,,,,,,,,,,,,1.0,64.0,,,,,,,,
,,igelu,16,,,,,,,,,,,,,,,gemmini,,,,,,,6.0,134,8,,,,marginal,256,70,4,,,,,,,,,,,,,,,,1.0,16.0,,,,,,,,
,,layernorm,16,,,,,,,,,,,,,,,gemmini,,,,,,,6.0,1046,8,,,,marginal,256,526,4,,,,,,,,,,,,,,,,8.125,130.0,,,,,,,,
,,none,48,,,,,,,,,,,,,,,gemmini,,,,,,,6.0,390,8,,,,marginal,768,198,4,,,,,,,,,,,,,,,,1.0,48.0,,,,,,,,
,,softmax,4,,,,,,,,,,,,,,,gemmini,,,,,,,6.0,334,8,,,,marginal,64,170,4,,,,,,,,,,,,,,,,10.25,41.0,,,,,,,,
,,igelu,64,1,,,,,,,,16,,16,,,,spmw,,,,,,,447.0,959,8,,,,marginal,1024,703,4,,,,,,,,,,,,,,,,1.0,64.0,,,,,,,,
,,igelu,16,1,,,,,,,,16,,16,,,,spmw,,,,,,,351.0,479,8,,,,marginal,256,415,4,,,,,,,,,,,,,,,,1.0,16.0,,,,,,,,
,,layernorm,16,0,,,,,,,,16,,16,,,,spmw,,,,,,,473.0,721,8,,,,marginal,256,597,4,,,,,,,,,,,,,,,,1.938,31.0,,,,,,,,
,,layernorm,16,1,,,,,,,,16,,16,,,,spmw,,,,,,,373.0,621,8,,,,marginal,256,497,4,,,,,,,,,,,,,,,,1.938,31.0,,,,,,,,
,,layernorm,16,1,,,,,,,,64,,16,,,,spmw,,,,,,,394.0,642,8,,,,marginal,256,518,4,,,,,,,,,,,,,,,,1.938,31.0,,,,,,,,
,,none,16,1,,,,,,,,16,,16,,,,spmw,,,,,,,351.0,479,8,,,,marginal,256,367,1,,,,,,,,,,,,,,,,1.0,16.0,,,,,,,,
,,none,48,1,,,,,,,,16,,16,,,,spmw,,,,,,,415.0,799,8,,,,marginal,768,607,4,,,,,,,,,,,,,,,,1.0,48.0,,,,,,,,
,,softmax,4,1,,,,,,,,16,,16,,,,spmw,,,,,,,327.0,359,8,,,,marginal,64,343,4,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,
