run_id,experiment_id,system,variant,M,d,groups,pe_count,dsp_count,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,cycles_per_query_row,lut,ff,dsp,bram_18k_equiv,uram,wns_ns,tns_ns,unrouted,hls_wall_s,total_wall_s,report_paths,failure_reason
spmw_conv_6_cosim_s2,E6,SPMW conventional,conventional_2pass,6,2,1,16,16,cosim,300,ok,True,59,76,12.6667,,,,,,,,,119.4,291.0,reports/spmw_conv_6_cosim_s2/run.json;validation/spmw_conv_6_cosim_s2,
spmw_conv_64_cosim_s0,E6,SPMW conventional,conventional_2pass,64,2,1,16,16,cosim,300,ok,True,117,192,3.0,,,,,,,,,125.9,301.2,reports/spmw_conv_64_cosim_s0/run.json;validation/spmw_conv_64_cosim_s0,
spmw_conv_64_cosim_s1,E6,SPMW conventional,conventional_2pass,64,2,1,16,16,cosim,300,ok,True,117,192,3.0,,,,,,,,,125.9,301.2,reports/spmw_conv_64_cosim_s1/run.json;validation/spmw_conv_64_cosim_s1,
spmw_conv_64_cosim_s2,E6,SPMW conventional,conventional_2pass,64,2,1,16,16,cosim,300,ok,True,117,192,3.0,,,,,,,,,125.9,301.2,reports/spmw_conv_64_cosim_s2/run.json;validation/spmw_conv_64_cosim_s2,
spmw_conv_64_pnr,E6,SPMW conventional,conventional_2pass,64,2,1,16,16,pnr_ooc,300,ok,,,,,1027,2873,16,0,0,1.119,0.0,0,116.7,553.3,reports/spmw_conv_64_pnr/run.json;reports/spmw_conv_64_pnr/util.rpt;reports/spmw_conv_64_pnr/util_synth.rpt;reports/spmw_conv_64_pnr/timing.rpt;reports/spmw_conv_64_pnr/route.rpt;reports/spmw_conv_64_pnr/util_hier.rpt;reports/spmw_conv_64_pnr/vivado_pnr.log;reports/spmw_conv_64_pnr/assemble_pnr.tcl;reports/spmw_conv_64_pnr/clock.xdc,
spmw_conv_6_pnr,E6,SPMW conventional,conventional_2pass,6,2,1,16,16,pnr_ooc,300,ok,,,,,911,2793,16,0,0,1.45,0.0,0,103.3,548.9,reports/spmw_conv_6_pnr/run.json;reports/spmw_conv_6_pnr/util.rpt;reports/spmw_conv_6_pnr/util_synth.rpt;reports/spmw_conv_6_pnr/timing.rpt;reports/spmw_conv_6_pnr/route.rpt;reports/spmw_conv_6_pnr/util_hier.rpt;reports/spmw_conv_6_pnr/vivado_pnr.log;reports/spmw_conv_6_pnr/assemble_pnr.tcl;reports/spmw_conv_6_pnr/clock.xdc,
spmw_convz0_64_cosim_s0,E6,SPMW conventional,conventional_foldedseed_pass1_only,64,2,1,16,16,cosim,300,ok,True,23,131,2.0469,,,,,,,,,97.6,140.0,reports/spmw_convz0_64_cosim_s0/run.json;validation/spmw_convz0_64_cosim_s0,
spmw_grp_4096_cosim_s0,E6,SPMW grouped,grouped_constseed,4096,2,2,16,16,cosim,300,ok,True,42,5499,1.3425,,,,,,,,,68.4,188.0,reports/spmw_grp_4096_cosim_s0/run.json;validation/spmw_grp_4096_cosim_s0,
spmw_grp_4096_cosim_s1,E6,SPMW grouped,grouped_constseed,4096,2,2,16,16,cosim,300,ok,True,42,5499,1.3425,,,,,,,,,68.4,188.0,reports/spmw_grp_4096_cosim_s1/run.json;validation/spmw_grp_4096_cosim_s1,
spmw_grp_4096_cosim_s2,E6,SPMW grouped,grouped_constseed,4096,2,2,16,16,cosim,300,ok,True,42,5499,1.3425,,,,,,,,,68.4,188.0,reports/spmw_grp_4096_cosim_s2/run.json;validation/spmw_grp_4096_cosim_s2,
